productId,whId,mrp,cost,shelfLife,barcode,quantity,offer,purchasePrice,serialNo,location,area,rackId,binId,product_name
PR10501,WMF1,32,0,31/12/2019,4902430795197,117,,24.075136,,,,,,"Pantene (Rs.2) Pro-V Shampoo - Hairfall Control, 5ml (Pack of 16)"
PR11485,WMF1,230,0,31/12/2019,8996001320723,2,,196.5672,,,,,,"Kopiko (Re.1) Candy Jar - Cappuccino, 3.8g (Pack of 230)"
PR14373,WMF1,50,0,31/12/2019,8901030704840,15,,44.873,,,,,,"Rin (Rs.5) Advanced Detergent Powder, 60g (Pack of 10)"
PR10198,WMF1,80,0,31/12/2019,4902430818803,1,,65.19636,,,,,,"Gillette (Rs.10) Guard Shaving Cartridge, (Pack of 8)"
PR10198,WMF1,80,0,31/12/2019,4902430818803,51,,65.19636,,,,,,"Gillette (Rs.10) Guard Shaving Cartridge, (Pack of 8)"
PR11475,WMF1,96,0,31/12/2019,8903622035202,33,,71.04,,,,,,"Mamy Poko (Rs.12) Pant Style Diaper - Large, (Pack of 8)"
PR11606,WMF1,100,0,31/12/2019,8906021121156,1,,67,,,,,,"Aachi (Rs.10) Garam Masala Powder, 15g (Pack of 10)"
PR11613,WMF1,100,0,31/12/2019,8906021120555,1,,67,,,,,,"Aachi (Rs.10) Chilli Powder, 30g (Pack of 10)"
PR11613,WMF1,100,0,31/12/2019,8906021120555,1,,67,,,,,,"Aachi (Rs.10) Chilli Powder, 30g (Pack of 10)"
PR11611,WMF1,100,0,31/12/2019,8906021120654,6,,67,,,,,,"Aachi (Rs.10) Coriander Powder, 30g (Pack of 10)"
PR11479,WMF1,80,0,31/12/2019,8903622174000,73,,59.27,,,,,,"Mamy Poko (Rs.10) Pant Style Diaper - Medium, (Pack of 8)"
PR12817,WMF1,380,0,31/12/2019,470544,10,,182.4,,,,,,"Shekar Economy Soft Long Notebook - 52gsm/Ruled, 156 Pages, 18.5X30.5cm (Pack of 10)"
PR13001,WMF1,420,0,31/12/2019,8901233023632,5,,357.9977319,,,,,,"Gems (Rs.5) Chocolate, 8.99g (Pack of 84)"
PR13001,WMF1,420,0,31/12/2019,8901233023632,2,,357.9977319,,,,,,"Gems (Rs.5) Chocolate, 8.99g (Pack of 84)"
PR13031,WMF1,10,0,31/12/2019,8901063162143N,1200,,8.45,,,,,,"Inactive Britannia (Rs.10) Marie Gold Biscuit, 68g (Extra 21g Free)"
PR13170,WMF1,24,0,31/12/2019,470861,48,,20.88,,,,,,"Nescafe (Rs.2) Sunrise Coffee Powder, 2.2g (Pack of 12)"
PR13170,WMF1,24,0,31/12/2019,470861,14,,20.88,,,,,,"Nescafe (Rs.2) Sunrise Coffee Powder, 2.2g (Pack of 12)"
PR14355,WMF1,240,0,31/12/2019,8901571003020,6,,184.0128,,,,,,"Eno (Rs.8) Fruit Salt Powder - Regular, 5g (Pack of 30)"
PR14355,WMF1,240,0,31/12/2019,8901571003020,72,,184.0128,,,,,,"Eno (Rs.8) Fruit Salt Powder - Regular, 5g (Pack of 30)"
PR14379,WMF1,50,0,31/12/2019,8901042967714,3,,39.5,,,,,,"MTR (Rs.5) Star Garam Masala Powder, 10g (Pack of 10)"
PR14379,WMF1,50,0,31/12/2019,8901042967714,1,,39.5,,,,,,"MTR (Rs.5) Star Garam Masala Powder, 10g (Pack of 10)"
PR14719,WMF1,25,0,31/12/2019,8901425001974,15,,17.5,,,,,,"Camlin Sketch Pen, 12 Shades"
PR15661,WMF1,34,0,31/12/2019,8901396146506N,2,,30.9094,,,,,,"Lizol Disinfectant Floor Cleaner - Sandal, 200ml"
